cargo;matr√≠cula;nome;email;senha;turma;setor
Administrativo;8691;Alain Lippingwell;alippingwell1t@jalbum.net;zBxn7xh;;Biblioteca
Administrativo;4879;Enriqueta Bryan;ebryan23@biblegateway.com;xTRygIG;;Biblioteca
Administrativo;95969;Brande Heaphy;bheaphy2d@moonfruit.com;Vkw1Su4aY0h;;Est·gio
Administrativo;74585;Patrice Dyball;pdyball2f@livejournal.com;A5Va3Ww5d;;Secretaria
Administrativo;93076;Florian Pendered;fpendered2g@mapquest.com;JKPPj5lQILwf;;Biblioteca
Administrativo;68270;Cynthie Broxholme;cbroxholme2h@weibo.com;1rCDqGVQb7W;;Est·gio
Administrativo;50775;Corrine Kobera;ckobera2j@mac.com;y5fE8O;;Biblioteca
Administrativo;88693;Addy Pandie;apandie2l@friendfeed.com;0lMh6C7XNey;;Est·gio
Administrativo;40295;Gaspar Fautley;gfautley2q@cbc.ca;4Exz4e8B;;Secretaria
Aluno;400000;Leonhard Lurriman;llurriman2@utexas.edu;44444;INF;
Aluno;6294;Redford Fearenside;rfearensidec@vistaprint.com;0s032BQ;CAM;
Aluno;68210;Dame Ammer;dammerd@nba.com;Pjnadsv;CAM;
Aluno;68698;Raddie Jurgensen;rjurgenseno@goo.gl;6eUrnOfoT;CAM;
Aluno;94109;Aigneis Gillean;agilleanp@economist.com;98cIcV;CAM;
Aluno;36115;Allys Barchrameev;abarchrameevv@vistaprint.com;soj54iXthjL2;ELE;
Aluno;10394;Winthrop Colbourne;wcolbournex@storify.com;ud7djzNoyD;INF;
Aluno;26314;Jonell Zorro;jzorroy@blogtalkradio.com;Bspm9u;ELE;
Aluno;50888;Gerik Breukelman;gbreukelman13@constantcontact.com;7GZzigceWHEv;CAM;
Aluno;64042;Christiano Hutchinson;chutchinson14@prnewswire.com;lsj7Ia;CAM;
Aluno;70552;Justen Tulk;jtulk17@abc.net.au;Oz282pNtu;CAM;
Aluno;9638;Quintilla Durran;qdurran1b@state.tx.us;DJpV6jlLRBf;ELE;
Aluno;42174;Kellie Armfield;karmfield1f@behance.net;38e1LW;CAM;
Aluno;27261;Jilli Morgan;jmorgan1j@prnewswire.com;EQtr3J;INF;
Aluno;3782;Danni Ethridge;dethridge1n@archive.org;IFdNcke16K;ELE;
Aluno;51864;Tallie Wilshire;twilshire1u@blogtalkradio.com;PU5BRfIJq0;INF;
Aluno;29195;Bibbye Goldbourn;bgoldbourn1v@lulu.com;mSMbUfK;ELE;
Aluno;44318;Devland Battaille;dbattaille1x@shutterfly.com;ZSdJaVp;INF;
Aluno;48097;Chery Leaney;cleaney1y@statcounter.com;Fh0olJc;ELE;
Aluno;42718;Jere Goodson;jgoodson1z@usnews.com;qk3Vxb;ELE;
Aluno;74533;Kristofer Erswell;kerswell20@twitpic.com;tLt0ZqAy6y0g;CAM;
Aluno;18246;Adel Comberbach;acomberbach22@4shared.com;5wCOkfmLr;CAM;
Aluno;79609;Sloane Lissett;slissett25@hexun.com;GNeS4g46uC2;INF;
Aluno;37083;Niko Beachem;nbeachem26@nature.com;S1BceuC;CAM;
Aluno;96888;Alyss Print;aprint29@clickbank.net;7Q0VDsmDI;INF;
Aluno;83098;Elwin Erbain;eerbain2a@ox.ac.uk;0cS8CAzpb;ELE;
Aluno;40861;Rahel AbELE;rabELE;2ZQK9w4evon;ELE;
Aluno;8208;Odelle Beavors;obeavors2k@blogtalkradio.com;NZcOnxOP;ELE;
Aluno;19943;Charmaine Calderon;ccalderon2m@netvibes.com;qF1KRo;INF;
Aluno;52969;Pansy Heino;pheino2n@naver.com;tXpKtq9NHpE;INF;
Aluno;99957;Amara Bax;abax2o@geocities.jp;iwU8XpcRW;CAM;
Aluno;35981;Maddy Pacitti;mpacitti2p@noaa.gov;SJYSS0;CAM;
Aluno;82912;Merilee Garth;mgarth2r@reference.com;8vRov7mPsE;CAM;
Professor;33000;Karlis Winterbourne;kwinterbourne1@unicef.org;333;;
Professor;87156;Alanah Reuss;areuss3@sourceforge.net;LQ27EVRhSR4g;;
Professor;48742;Ada Trayte;atrayte5@ox.ac.uk;BOGZLTh;;
Professor;37244;Gabie McEntagart;gmcentagart6@hc360.com;Xn8ufR;;
Professor;84813;Rudolph Lacasa;rlacasa9@skyrock.com;4sR26fBp9T;;
Professor;53648;Finley Ritelli;fritellif@yale.edu;AOP7rf;;
Professor;79432;Isis Wiggin;iwigginh@ted.com;KcSgBJtbN;;
Professor;58427;Romona Slite;rslitek@t.co;M0EVVUO3tI9E;;
Professor;59539;Ulric Pomfret;upomfretm@odnoklassniki.ru;3AiRaEg5nmm;;
Professor;16054;Dix Ellam;dellamn@imdb.com;sMZB3KL;;
Professor;95816;Audrey Portail;aportailq@fda.gov;E4uxpZjLG7Gg;;
Professor;56618;Darelle Gamlen;dgamlenr@dailymotion.com;xjDAjVGKb;;
Professor;8038;Eddy Wadly;ewadlys@bigcartel.com;F00V4RxFI;;
Professor;33961;Ynes Commin;ycommint@a8.net;r5HRsWcAW8;;
Professor;13817;Dulcie Cumo;dcumou@booking.com;9q6LD74kqo;;
Professor;19287;Cullin Attwooll;cattwooll10@aboutads.INF;06TqIM;;
Professor;23939;Caryl Ledes;cledes12@mapy.cz;1kza95;;
Professor;27343;Deedee Smythe;dsmythe16@msn.com;VxraUM;;
Professor;91583;Tamarah Quinnette;tquinnette1a@bloglines.com;EeYwvu1a;;
Professor;79490;Teirtza Hughman;thughman1c@phpbb.com;6E4HqJJf;;
Professor;3079;Melody Pleaden;mpleaden1i@admin.ch;hGDbPGFLCKhS;;
Professor;35694;Rosabelle Boldra;rboldra1l@blogtalkradio.com;eH0Rksqw;;
Professor;29574;Read Polkinghorne;rpolkinghorne1o@narod.ru;YCGOrAE;;
Professor;84445;Nataline Mulroy;nmulroy1q@army.mil;jhTCM1o2;;
Professor;14976;Didi Chalfain;dchalfain1s@google.es;otaZJZfc1;;
Professor;17333;Petunia Manske;pmanske1w@go.com;2FAzJQ;;
Professor;60448;Franciskus Andriolli;fandriolli21@privacy.gov.au;O5cYmalbI8;;
Professor;42810;Gael Murrow;gmurrow24@flavors.me;z03Qrxwil;;
Professor;58602;Walt O'Luby;woluby27@flavors.me;UuQE5iQhuI;;
Professor;9968;Ulrikaumeko Aliberti;ualiberti28@cnbc.com;bpHyiq7;;
Professor;76871;Ruby Toomey;rtoomey2b@angelfire.com;f8US9ExmPU;;
Professor;94697;Daryle Buzza;dbuzza2c@chronoengine.com;lfYV0kFcDS;;
Professor;67243;Joey Teanby;jteanby2i@huffingtonpost.com;SkoHEvWhiPC;;
